Date,Close
7-Feb-19,"2,706.05"
6-Feb-19,"2,731.61"
5-Feb-19,"2,737.70"
4-Feb-19,"2,724.87"
1-Feb-19,"2,706.53"
31-Jan-19,"2,704.10"
30-Jan-19,"2,681.05"
29-Jan-19,"2,640.00"
28-Jan-19,"2,643.85"
25-Jan-19,"2,664.76"
24-Jan-19,"2,642.33"
23-Jan-19,"2,638.70"
22-Jan-19,"2,632.90"
18-Jan-19,"2,670.71"
17-Jan-19,"2,635.96"
16-Jan-19,"2,616.10"
15-Jan-19,"2,610.30"
14-Jan-19,"2,582.61"
11-Jan-19,"2,596.26"
10-Jan-19,"2,596.64"
9-Jan-19,"2,584.96"
8-Jan-19,"2,574.41"
7-Jan-19,"2,549.69"
4-Jan-19,"2,531.94"
3-Jan-19,"2,447.89"
2-Jan-19,"2,510.03"
31-Dec-18,"2,506.85"
28-Dec-18,"2,485.74"
27-Dec-18,"2,488.83"
26-Dec-18,"2,467.70"
24-Dec-18,"2,351.10"
21-Dec-18,"2,416.62"
20-Dec-18,"2,467.42"
19-Dec-18,"2,506.96"
18-Dec-18,"2,546.16"
17-Dec-18,"2,545.94"
14-Dec-18,"2,599.95"
13-Dec-18,"2,650.54"
12-Dec-18,"2,651.07"
11-Dec-18,"2,636.78"
10-Dec-18,"2,637.72"
7-Dec-18,"2,633.08"
6-Dec-18,"2,695.95"
4-Dec-18,"2,700.06"
3-Dec-18,"2,790.37"
30-Nov-18,"2,760.17"
29-Nov-18,"2,737.80"
28-Nov-18,"2,743.79"
27-Nov-18,"2,682.17"
26-Nov-18,"2,673.45"
23-Nov-18,"2,632.56"
21-Nov-18,"2,649.93"
20-Nov-18,"2,641.89"
19-Nov-18,"2,690.73"
16-Nov-18,"2,736.27"
15-Nov-18,"2,730.20"
14-Nov-18,"2,701.58"
13-Nov-18,"2,722.18"
12-Nov-18,"2,726.22"
9-Nov-18,"2,781.01"
8-Nov-18,"2,806.83"
7-Nov-18,"2,813.89"
6-Nov-18,"2,755.45"
5-Nov-18,"2,738.31"
2-Nov-18,"2,723.06"
1-Nov-18,"2,740.37"
31-Oct-18,"2,711.74"
30-Oct-18,"2,682.63"
29-Oct-18,"2,641.25"
26-Oct-18,"2,658.69"
25-Oct-18,"2,705.57"
24-Oct-18,"2,656.10"
23-Oct-18,"2,740.69"
22-Oct-18,"2,755.88"
19-Oct-18,"2,767.78"
18-Oct-18,"2,768.78"
17-Oct-18,"2,809.21"
16-Oct-18,"2,809.92"
15-Oct-18,"2,750.79"
12-Oct-18,"2,767.13"
11-Oct-18,"2,728.37"
10-Oct-18,"2,785.68"
9-Oct-18,"2,880.34"
8-Oct-18,"2,884.43"
5-Oct-18,"2,885.57"
4-Oct-18,"2,901.61"
3-Oct-18,"2,925.51"
2-Oct-18,"2,923.43"
1-Oct-18,"2,924.59"
28-Sep-18,"2,913.98"
27-Sep-18,"2,914.00"
26-Sep-18,"2,905.97"
25-Sep-18,"2,915.56"
24-Sep-18,"2,919.37"
21-Sep-18,"2,929.67"
20-Sep-18,"2,930.75"
19-Sep-18,"2,907.95"
18-Sep-18,"2,904.31"
17-Sep-18,"2,888.80"
14-Sep-18,"2,904.98"
13-Sep-18,"2,904.18"
12-Sep-18,"2,888.92"
11-Sep-18,"2,887.89"
10-Sep-18,"2,877.13"
7-Sep-18,"2,871.68"
6-Sep-18,"2,878.05"
5-Sep-18,"2,888.60"
4-Sep-18,"2,896.72"
31-Aug-18,"2,901.52"
30-Aug-18,"2,901.13"
29-Aug-18,"2,914.04"
28-Aug-18,"2,897.52"
27-Aug-18,"2,896.74"
24-Aug-18,"2,874.69"
23-Aug-18,"2,856.98"
22-Aug-18,"2,861.82"
21-Aug-18,"2,862.96"
20-Aug-18,"2,857.05"
17-Aug-18,"2,850.13"
16-Aug-18,"2,840.69"
15-Aug-18,"2,818.37"
14-Aug-18,"2,839.96"
13-Aug-18,"2,821.93"
10-Aug-18,"2,833.28"
9-Aug-18,"2,853.58"
8-Aug-18,"2,857.70"
7-Aug-18,"2,858.45"
6-Aug-18,"2,850.40"
3-Aug-18,"2,840.35"
2-Aug-18,"2,827.22"
1-Aug-18,"2,813.36"
31-Jul-18,"2,816.29"
30-Jul-18,"2,802.60"
27-Jul-18,"2,818.82"
26-Jul-18,"2,837.44"
25-Jul-18,"2,846.07"
24-Jul-18,"2,820.40"
23-Jul-18,"2,806.98"
20-Jul-18,"2,801.83"
19-Jul-18,"2,804.49"
18-Jul-18,"2,815.62"
17-Jul-18,"2,809.55"
16-Jul-18,"2,798.43"
13-Jul-18,"2,801.31"
12-Jul-18,"2,798.29"
11-Jul-18,"2,774.02"
10-Jul-18,"2,793.84"
9-Jul-18,"2,784.17"
6-Jul-18,"2,759.82"
5-Jul-18,"2,736.61"
3-Jul-18,"2,713.22"
2-Jul-18,"2,726.71"
29-Jun-18,"2,718.37"
28-Jun-18,"2,716.31"
27-Jun-18,"2,699.63"
26-Jun-18,"2,723.06"
25-Jun-18,"2,717.07"
22-Jun-18,"2,754.88"
21-Jun-18,"2,749.76"
20-Jun-18,"2,767.32"
19-Jun-18,"2,762.59"
18-Jun-18,"2,773.75"
15-Jun-18,"2,779.66"
14-Jun-18,"2,782.49"
13-Jun-18,"2,775.63"
12-Jun-18,"2,786.85"
11-Jun-18,"2,782.00"
8-Jun-18,"2,779.03"
7-Jun-18,"2,770.37"
6-Jun-18,"2,772.35"
5-Jun-18,"2,748.80"
4-Jun-18,"2,746.87"
1-Jun-18,"2,734.62"
31-May-18,"2,705.27"
30-May-18,"2,724.01"
29-May-18,"2,689.86"
25-May-18,"2,721.33"
24-May-18,"2,727.76"
23-May-18,"2,733.29"
22-May-18,"2,724.44"
21-May-18,"2,733.01"
18-May-18,"2,712.97"
17-May-18,"2,720.13"
